transaction_id,order_date,store_id,product_id,quantity,unit_price,discount_percent,revenue
49,2023-10-17,4,2,3,1783,5,5081.55
50,2023-11-10,18,31,5,700,20,2800.0
51,2023-11-15,8,14,2,1684,20,2694.4
52,2023-10-27,4,2,2,1771,5,3364.8999999999996
53,2023-09-27,2,29,1,1087,0,1087.0
54,2023-10-17,6,15,1,1314,20,1051.2
55,2023-09-16,10,12,4,1272,25,3816.0
56,2023-09-11,4,37,4,698,0,2792.0
57,2023-09-14,18,28,5,1539,5,7310.25
58,2023-11-26,12,20,1,619,0,619.0
59,2023-09-27,2,39,1,1858,25,1393.5
60,2023-10-21,10,24,4,968,10,3484.8
61,2023-09-04,4,21,4,115,5,437.0
62,2023-10-30,14,10,4,1931,25,5793.0
63,2023-09-29,16,46,2,1229,5,2335.1
64,2023-11-12,15,14,3,382,25,859.5
65,2023-11-02,8,37,3,1227,25,2760.75
66,2023-10-10,14,18,1,460,20,368.0
67,2023-10-11,8,24,2,1781,20,2849.6000000000004
68,2023-11-06,16,14,4,1158,20,3705.6000000000004
69,2023-09-27,13,34,1,212,10,190.8
70,2023-09-07,18,12,2,407,10,732.6
71,2023-09-03,15,22,5,1058,25,3967.5
72,2023-10-28,13,6,2,1176,15,1999.2
73,2023-11-11,9,36,1,1982,5,1882.8999999999999
74,2023-10-14,15,45,3,1204,20,2889.6000000000004
75,2023-11-01,13,36,4,1739,5,6608.2
76,2023-10-01,1,22,5,933,25,3498.75
77,2023-10-29,7,14,2,1492,0,2984.0
78,2023-10-13,9,16,1,341,25,255.75
79,2023-11-07,1,36,1,130,10,117.0
80,2023-10-12,12,25,4,1952,15,6636.8
81,2023-11-23,8,32,1,803,0,803.0
82,2023-09-02,11,33,1,968,5,919.5999999999999
83,2023-10-17,19,45,4,1484,10,5342.400000000001
84,2023-10-20,17,36,5,332,20,1328.0
85,2023-10-27,8,20,3,1733,0,5199.0
86,2023-11-27,3,18,3,1157,10,3123.9
87,2023-10-16,3,38,2,1366,5,2595.4
88,2023-10-16,1,3,5,1050,25,3937.5
89,2023-09-02,5,23,2,158,5,300.2
90,2023-09-03,10,32,3,870,0,2610.0
91,2023-11-11,7,45,4,1652,0,6608.0
92,2023-11-07,9,16,1,1201,25,900.75
93,2023-11-28,7,5,3,817,0,2451.0
94,2023-10-02,9,4,5,401,15,1704.25
95,2023-10-25,8,21,3,1801,20,4322.400000000001
96,2023-09-02,12,40,5,902,10,4059.0
97,2023-09-07,2,14,5,996,25,3735.0
98,2023-09-07,1,39,5,211,5,1002.25
99,2023-10-04,16,31,2,1536,5,2918.3999999999996
100,2023-10-20,5,14,4,416,20,1331.2
101,2023-09-01,3,6,3,1988,0,5964.0
102,2023-11-06,12,12,4,1268,0,5072.0
103,2023-10-30,8,16,1,767,5,728.65
104,2023-09-01,3,17,3,789,20,1893.6000000000001
105,2023-11-08,1,45,4,1981,5,7527.799999999999
106,2023-09-19,3,23,4,1771,0,7084.0
107,2023-09-01,5,14,1,1950,25,1462.5
108,2023-11-23,15,7,5,117,10,526.5
109,2023-10-01,14,46,3,1474,0,4422.0
110,2023-09-15,3,32,3,1278,25,2875.5
111,2023-10-20,1,15,1,1907,10,1716.3
112,2023-10-26,5,44,5,1629,15,6923.25
113,2023-10-22,14,17,3,877,20,2104.8
114,2023-10-11,7,41,3,459,25,1032.75
115,2023-10-26,9,47,3,431,15,1099.05
116,2023-11-24,15,44,5,627,0,3135.0
117,2023-10-05,15,34,1,111,20,88.80000000000001
118,2023-09-11,10,5,3,1198,25,2695.5
119,2023-10-12,13,45,4,311,0,1244.0
120,2023-10-28,19,27,5,1814,20,7256.0
121,2023-11-08,7,23,2,740,20,1184.0
122,2023-09-30,17,40,1,382,0,382.0
123,2023-09-16,20,14,4,1318,0,5272.0
124,2023-11-25,4,15,3,879,25,1977.75
125,2023-11-10,5,43,2,1153,20,1844.8000000000002
126,2023-11-18,7,33,1,1132,25,849.0
127,2023-09-01,13,31,5,1432,20,5728.0
128,2023-11-20,15,35,2,1568,25,2352.0
129,2023-11-14,11,17,2,1433,0,2866.0
130,2023-09-09,4,28,4,776,0,3104.0
131,2023-11-16,13,19,1,804,5,763.8
132,2023-11-09,7,46,4,525,25,1575.0
133,2023-11-13,19,23,4,1940,5,7372.0
134,2023-09-03,2,32,3,1895,5,5400.75
135,2023-09-17,10,40,5,1827,15,7764.75
136,2023-11-23,13,13,2,690,20,1104.0
137,2023-11-04,6,20,1,1814,10,1632.6000000000001
138,2023-09-27,12,35,5,190,15,807.5
139,2023-10-25,12,5,5,555,20,2220.0
140,2023-09-20,20,9,1,543,10,488.7
141,2023-11-18,11,29,5,1850,5,8787.5
142,2023-09-18,7,6,3,178,10,480.6
143,2023-09-24,1,25,5,1598,0,7990.0
144,2023-11-28,1,31,3,1026,0,3078.0
145,2023-10-31,20,22,2,202,25,303.0
146,2023-09-23,13,2,2,722,20,1155.2
147,2023-11-20,9,45,4,1579,15,5368.599999999999
148,2023-11-22,3,5,3,1089,5,3103.6499999999996
149,2023-09-10,7,27,2,1437,20,2299.2000000000003
150,2023-09-17,6,25,5,1370,5,6507.5
151,2023-09-09,8,8,1,333,0,333.0
152,2023-11-03,9,1,1,1717,15,1459.45
153,2023-11-19,5,20,3,743,15,1894.6499999999999
154,2023-11-14,1,44,4,1358,0,5432.0
155,2023-09-27,19,23,5,889,10,4000.5
156,2023-09-27,10,32,3,486,15,1239.3
157,2023-09-30,12,11,1,946,10,851.4
158,2023-11-08,15,39,3,1734,5,4941.9
159,2023-11-16,9,47,5,137,15,582.25
160,2023-09-12,20,24,2,1284,25,1926.0
161,2023-10-17,17,11,5,1585,0,7925.0
162,2023-10-29,17,29,2,1572,10,2829.6
163,2023-09-26,20,26,2,1240,25,1860.0
164,2023-09-03,12,16,2,340,5,646.0
165,2023-09-05,7,35,3,1149,5,3274.6499999999996
166,2023-09-05,2,20,1,1771,15,1505.35
167,2023-10-14,3,46,3,661,15,1685.55
168,2023-11-14,17,3,1,905,25,678.75
169,2023-11-29,5,1,5,397,20,1588.0
170,2023-10-07,17,47,4,904,20,2892.8
171,2023-10-15,17,1,5,253,15,1075.25
172,2023-09-30,17,17,3,831,20,1994.4
173,2023-11-08,2,2,3,1775,0,5325.0
174,2023-11-08,2,29,1,567,25,425.25
175,2023-09-19,5,20,3,148,0,444.0
176,2023-10-22,1,6,2,1777,20,2843.2000000000003
177,2023-11-05,1,8,3,145,15,369.75
178,2023-09-02,19,29,1,1798,0,1798.0
179,2023-11-14,2,48,1,1408,5,1337.6
180,2023-09-24,12,33,2,879,15,1494.3
181,2023-09-05,6,3,1,1751,25,1313.25
182,2023-09-25,4,35,4,181,10,651.6
183,2023-10-28,11,5,5,1167,10,5251.5
184,2023-10-13,17,27,3,1829,15,4663.95
185,2023-09-17,6,44,4,1893,20,6057.6
186,2023-10-21,5,12,3,1054,0,3162.0
187,2023-10-23,20,20,4,372,0,1488.0
188,2023-11-02,2,45,3,493,15,1257.1499999999999
189,2023-11-02,6,20,2,1909,5,3627.1
190,2023-10-22,11,9,1,889,25,666.75
191,2023-10-11,16,39,1,694,20,555.2
192,2023-10-25,16,4,2,157,5,298.3
193,2023-09-28,1,19,4,664,15,2257.6
194,2023-09-08,9,38,5,100,15,425.0
195,2023-10-27,6,27,4,315,5,1197.0
196,2023-10-24,16,45,1,1440,10,1296.0
197,2023-10-01,3,43,5,1351,15,5741.75
198,2023-10-01,20,13,3,1596,25,3591.0
199,2023-09-22,4,13,5,1607,20,6428.0
200,2023-10-22,19,22,4,865,5,3287.0
201,2023-09-07,3,28,2,770,10,1386.0
202,2023-09-27,19,47,3,1410,5,4018.5
203,2023-10-06,20,45,4,610,10,2196.0
204,2023-11-19,7,22,3,1701,10,4592.7
205,2023-11-23,20,43,5,1014,25,3802.5
206,2023-11-23,9,19,1,1944,20,1555.2
207,2023-11-07,1,8,4,1581,15,5375.4
208,2023-11-10,8,8,2,194,10,349.2
209,2023-11-04,7,42,5,592,15,2516.0
210,2023-09-27,18,26,4,864,20,2764.8
211,2023-10-06,8,48,2,1121,15,1905.7
212,2023-10-30,1,26,4,249,25,747.0
213,2023-09-03,11,23,5,1146,25,4297.5
214,2023-11-09,18,43,4,855,0,3420.0
215,2023-09-08,10,13,3,1338,25,3010.5
216,2023-10-23,3,28,5,498,10,2241.0
217,2023-11-06,7,9,4,509,20,1628.8000000000002
218,2023-10-09,16,20,1,230,25,172.5
219,2023-09-03,16,19,4,954,5,3625.2
220,2023-09-22,20,48,3,247,20,592.8000000000001
221,2023-11-05,17,39,2,480,10,864.0
222,2023-09-16,2,12,2,1232,20,1971.2
223,2023-10-17,1,15,2,651,25,976.5
224,2023-11-08,16,31,1,1244,5,1181.8
225,2023-10-19,12,14,3,394,0,1182.0
226,2023-10-04,5,11,5,1243,10,5593.5
227,2023-10-20,5,26,2,555,10,999.0
228,2023-10-27,9,42,3,1653,20,3967.2000000000003
229,2023-11-05,9,27,4,268,15,911.1999999999999
230,2023-10-02,3,11,1,809,15,687.65
231,2023-09-03,19,38,3,1266,5,3608.1
232,2023-10-14,16,34,3,136,0,408.0
233,2023-10-12,16,43,5,1821,0,9105.0
234,2023-11-18,3,19,3,1384,20,3321.6000000000004
235,2023-10-13,20,6,5,330,20,1320.0
236,2023-10-03,1,46,1,353,15,300.05
237,2023-10-30,20,38,1,428,25,321.0
238,2023-09-27,11,49,4,1420,0,5680.0
239,2023-10-01,17,42,5,1079,25,4046.25
240,2023-10-14,8,28,5,109,0,545.0
241,2023-10-05,4,1,2,545,25,817.5
242,2023-11-08,6,35,2,1021,25,1531.5
243,2023-11-02,8,40,4,935,0,3740.0
244,2023-10-07,20,8,1,1353,5,1285.35
245,2023-10-30,3,47,2,1659,5,3152.1
246,2023-11-18,16,7,3,177,20,424.8
247,2023-11-05,3,11,1,1548,25,1161.0
248,2023-10-24,18,39,3,292,25,657.0
249,2023-09-20,14,4,5,500,25,1875.0
250,2023-09-01,18,25,1,208,25,156.0
251,2023-09-06,2,12,4,891,25,2673.0
252,2023-10-12,3,26,5,362,15,1538.5
253,2023-09-01,16,38,5,428,10,1926.0
254,2023-09-26,9,46,3,462,25,1039.5
255,2023-09-05,4,12,5,1990,15,8457.5
256,2023-11-09,1,43,2,1501,5,2851.9
257,2023-11-15,4,37,1,1903,25,1427.25
258,2023-11-02,1,46,2,1464,5,2781.6
259,2023-11-26,14,24,3,358,20,859.2
260,2023-11-29,16,16,3,1458,10,3936.6
261,2023-09-02,20,13,1,184,0,184.0
262,2023-10-29,8,25,5,1645,10,7402.5
263,2023-11-28,7,4,4,1924,25,5772.0
264,2023-09-25,3,11,3,1937,25,4358.25
265,2023-11-11,17,32,1,1694,10,1524.6000000000001
266,2023-09-03,1,49,4,407,10,1465.2
267,2023-10-12,16,7,5,361,20,1444.0
268,2023-11-12,12,46,3,896,5,2553.6
269,2023-11-11,19,11,1,730,0,730.0
270,2023-10-17,14,28,1,779,10,701.1
271,2023-10-27,6,41,1,964,0,964.0
272,2023-10-11,6,23,3,1824,10,4924.8
273,2023-09-16,13,45,4,1575,5,5985.0
274,2023-10-20,19,23,1,1374,0,1374.0
275,2023-11-03,8,50,5,423,15,1797.75
276,2023-09-14,2,28,1,1024,5,972.8
277,2023-10-01,1,43,4,1352,0,5408.0
278,2023-10-22,15,47,3,1825,10,4927.5
279,2023-11-30,1,26,1,1951,10,1755.9
280,2023-09-26,5,25,1,1759,5,1671.05
281,2023-11-12,16,29,5,1719,5,8165.25
282,2023-09-29,19,19,5,1420,10,6390.0
283,2023-10-16,4,33,1,826,0,826.0
284,2023-09-13,3,36,1,1360,15,1156.0
285,2023-11-09,17,14,5,1077,20,4308.0
286,2023-10-14,17,14,4,1748,5,6642.4
287,2023-09-11,12,35,2,316,10,568.8000000000001
288,2023-09-11,14,30,2,1956,0,3912.0
289,2023-11-20,6,28,1,1369,5,1300.55
290,2023-11-27,3,17,5,547,0,2735.0
291,2023-09-18,9,3,3,1970,5,5614.5
292,2023-10-29,5,16,3,418,10,1128.6000000000001
293,2023-11-13,17,46,2,1093,0,2186.0
294,2023-11-25,14,30,4,1555,10,5598.0
295,2023-11-02,3,29,2,1527,0,3054.0
296,2023-10-19,1,45,1,136,5,129.2
297,2023-09-25,20,15,4,1699,20,5436.8
298,2023-11-12,1,46,3,830,20,1992.0
299,2023-10-19,3,25,5,1465,15,6226.25
300,2023-11-27,18,38,5,1110,15,4717.5
301,2023-11-24,10,42,1,1512,25,1134.0
302,2023-10-28,3,47,2,1157,10,2082.6
303,2023-10-20,8,38,1,138,0,138.0
304,2023-10-20,14,23,5,1702,15,7233.5
305,2023-10-31,18,25,3,308,5,877.8
306,2023-11-17,15,42,5,929,20,3716.0
307,2023-10-19,2,7,4,955,0,3820.0
308,2023-11-07,10,22,5,1275,25,4781.25
309,2023-10-18,2,17,5,998,20,3992.0
310,2023-09-19,17,18,4,1488,0,5952.0
311,2023-11-02,8,49,2,1322,15,2247.4
312,2023-10-10,1,41,5,700,15,2975.0
313,2023-11-30,9,10,1,859,10,773.1
314,2023-10-15,11,10,5,1958,25,7342.5
315,2023-10-22,16,7,1,1202,0,1202.0
316,2023-10-03,7,48,4,1600,25,4800.0
317,2023-11-03,10,50,5,533,5,2531.75
318,2023-10-07,3,38,4,1920,25,5760.0
319,2023-10-19,18,27,4,941,15,3199.4
320,2023-11-09,13,33,2,131,10,235.8
321,2023-10-15,7,1,5,1210,15,5142.5
322,2023-09-06,4,44,1,1674,20,1339.2
323,2023-09-24,13,34,1,492,15,418.2
324,2023-09-11,20,4,5,1736,0,8680.0
325,2023-10-10,1,17,2,1367,10,2460.6
326,2023-11-05,8,4,2,1355,0,2710.0
327,2023-11-29,14,43,2,1009,5,1917.1
328,2023-11-09,16,26,1,1703,5,1617.85
329,2023-09-21,14,4,4,291,15,989.4
330,2023-10-12,12,1,2,1663,10,2993.4
331,2023-11-04,19,7,1,369,25,276.75
332,2023-09-11,15,30,1,837,10,753.3000000000001
333,2023-11-16,2,50,4,176,10,633.6
334,2023-10-16,2,9,5,834,10,3753.0
335,2023-09-17,19,35,5,983,15,4177.75
336,2023-11-15,17,8,2,1290,0,2580.0
337,2023-10-02,20,24,2,383,15,651.1
338,2023-10-31,10,19,4,1827,25,5481.0
339,2023-11-16,6,36,2,1212,0,2424.0
340,2023-10-31,15,50,4,643,25,1929.0
341,2023-10-02,11,43,1,748,20,598.4
342,2023-10-31,5,27,2,1279,20,2046.4
343,2023-11-17,1,32,1,349,0,349.0
344,2023-11-03,8,14,3,194,15,494.7
345,2023-10-09,12,18,4,116,25,348.0
346,2023-09-17,12,28,3,216,25,486.0
347,2023-10-31,5,29,2,1082,5,2055.7999999999997
348,2023-09-29,7,16,1,432,25,324.0
349,2023-10-14,4,35,2,1946,15,3308.2
350,2023-10-03,6,47,3,1645,5,4688.25
351,2023-11-18,13,31,2,1203,15,2045.1
352,2023-09-21,20,4,5,745,10,3352.5
353,2023-09-07,15,37,3,1555,25,3498.75
354,2023-09-14,3,17,2,1326,10,2386.8
355,2023-11-10,8,39,1,215,20,172.0
356,2023-11-08,20,48,2,1062,20,1699.2
357,2023-11-12,16,46,1,1343,0,1343.0
358,2023-09-07,13,26,5,1376,25,5160.0
359,2023-11-29,18,48,2,1292,5,2454.7999999999997
360,2023-09-29,10,39,5,946,10,4257.0
361,2023-11-26,19,41,3,415,15,1058.25
362,2023-10-09,17,4,1,1840,25,1380.0
363,2023-10-27,19,30,3,909,0,2727.0
364,2023-11-01,5,30,1,471,15,400.34999999999997
365,2023-11-06,9,22,5,859,10,3865.5
366,2023-10-30,12,11,4,976,25,2928.0
367,2023-10-06,1,2,2,1076,10,1936.8
368,2023-10-20,1,44,5,1706,25,6397.5
369,2023-11-01,15,12,1,255,25,191.25
370,2023-09-18,2,30,1,713,10,641.7
371,2023-09-29,16,36,1,1136,10,1022.4
372,2023-10-23,8,18,1,607,15,515.9499999999999
373,2023-10-31,13,26,2,564,0,1128.0
374,2023-11-20,1,7,3,882,10,2381.4
375,2023-10-14,16,1,4,903,20,2889.6000000000004
376,2023-11-27,7,26,2,319,0,638.0
377,2023-09-19,5,23,1,114,20,91.2
378,2023-11-09,3,26,2,1873,15,3184.1
379,2023-09-08,12,45,5,216,10,972.0
380,2023-11-06,16,6,1,430,0,430.0
381,2023-11-03,19,6,4,155,10,558.0
382,2023-10-06,5,44,1,1474,25,1105.5
383,2023-11-18,14,8,4,1255,10,4518.0
384,2023-09-14,5,24,4,1349,0,5396.0
385,2023-09-16,15,22,3,407,10,1098.9
386,2023-10-05,17,19,3,1598,10,4314.6
387,2023-09-12,14,37,2,321,5,609.9
388,2023-10-06,20,18,2,1296,5,2462.4
389,2023-09-07,5,31,4,1463,0,5852.0
390,2023-09-10,12,37,1,896,0,896.0
391,2023-09-10,16,30,5,1629,25,6108.75
392,2023-11-05,16,42,5,1944,25,7290.0
393,2023-11-28,7,33,1,1280,10,1152.0
394,2023-10-18,4,10,1,250,20,200.0
395,2023-10-15,1,37,3,1820,0,5460.0
396,2023-09-25,5,12,5,1301,10,5854.5
397,2023-09-28,10,30,4,1656,20,5299.200000000001
398,2023-11-29,5,27,2,211,5,400.9
399,2023-11-17,4,39,3,782,25,1759.5
400,2023-09-11,2,9,5,1261,0,6305.0
401,2023-10-16,20,21,1,1356,10,1220.4
402,2023-09-01,10,12,5,431,5,2047.25
403,2023-10-08,19,29,4,1665,15,5661.0
404,2023-10-04,1,33,3,992,5,2827.2
405,2023-09-13,5,43,1,1430,10,1287.0
406,2023-09-21,13,15,4,260,25,780.0
407,2023-09-23,4,2,2,1525,20,2440.0
408,2023-10-19,16,39,3,1713,15,4368.15
409,2023-11-19,16,44,4,377,15,1281.8
410,2023-11-02,2,18,4,1443,25,4329.0
411,2023-11-21,17,3,1,1656,15,1407.6
412,2023-11-16,20,7,2,996,0,1992.0
413,2023-10-17,12,43,4,596,10,2145.6
414,2023-10-05,18,18,3,1486,15,3789.2999999999997
415,2023-10-30,3,44,4,1495,5,5681.0
416,2023-09-09,1,38,5,754,20,3016.0
417,2023-11-30,1,37,3,1159,10,3129.3
418,2023-11-03,19,33,3,402,25,904.5
419,2023-09-05,11,44,4,537,5,2040.6
420,2023-09-01,5,31,1,825,0,825.0
421,2023-09-09,12,11,3,1155,15,2945.25
422,2023-09-18,3,4,5,285,5,1353.75
423,2023-09-19,1,18,1,1297,10,1167.3
424,2023-09-06,1,4,1,1689,5,1604.55
425,2023-09-08,8,49,1,772,0,772.0
426,2023-11-04,10,34,3,1373,20,3295.2000000000003
427,2023-11-19,11,29,1,1100,15,935.0
428,2023-11-07,12,24,4,1886,10,6789.6
429,2023-10-31,13,22,1,378,15,321.3
430,2023-09-11,12,2,5,782,15,3323.5
431,2023-11-06,14,44,2,1818,25,2727.0
432,2023-11-02,2,6,5,1125,15,4781.25
433,2023-09-13,19,42,3,1317,5,3753.45
434,2023-11-22,18,25,1,1289,5,1224.55
435,2023-09-11,3,21,1,1882,20,1505.6000000000001
436,2023-09-25,17,16,4,1110,0,4440.0
437,2023-11-16,8,31,1,1024,10,921.6
438,2023-11-20,10,14,5,1879,5,8925.25
439,2023-10-05,2,39,3,1233,15,3144.15
440,2023-09-17,19,28,2,479,0,958.0
441,2023-09-01,9,32,1,934,10,840.6
442,2023-09-26,7,28,2,1098,10,1976.4
443,2023-09-25,4,49,1,1706,10,1535.4
444,2023-09-15,18,9,3,1799,10,4857.3
445,2023-11-29,13,45,5,384,20,1536.0
446,2023-11-19,11,22,3,520,10,1404.0
447,2023-11-29,4,32,2,212,0,424.0
448,2023-10-11,4,5,1,1117,5,1061.1499999999999
449,2023-09-01,10,23,2,327,0,654.0
450,2023-11-30,5,5,5,1594,15,6774.5
451,2023-11-10,9,42,3,1936,25,4356.0
452,2023-09-13,3,32,2,627,20,1003.2
453,2023-10-13,17,10,2,595,20,952.0
454,2023-09-01,3,39,5,130,15,552.5
455,2023-10-10,16,15,1,261,0,261.0
456,2023-10-30,4,7,2,1941,0,3882.0
457,2023-11-19,18,29,5,804,15,3417.0
458,2023-10-31,17,47,1,821,25,615.75
459,2023-10-30,7,3,1,1501,10,1350.9
460,2023-11-11,5,19,3,545,10,1471.5
461,2023-11-09,12,10,5,843,5,4004.25
462,2023-11-19,17,28,1,526,0,526.0
463,2023-09-09,13,29,3,1819,0,5457.0
464,2023-11-10,3,15,4,603,15,2050.2
465,2023-09-10,9,35,5,1650,15,7012.5
466,2023-10-14,17,6,4,1940,10,6984.0
467,2023-11-06,17,12,1,820,0,820.0
468,2023-09-11,20,47,5,783,0,3915.0
469,2023-10-09,16,38,3,1901,20,4562.400000000001
470,2023-10-06,13,13,1,1655,5,1572.25
471,2023-11-22,19,29,5,681,5,3234.75
472,2023-10-04,17,19,5,1643,10,7393.5
473,2023-10-16,4,3,4,1157,25,3471.0
474,2023-10-07,12,8,1,835,0,835.0
475,2023-10-25,9,8,3,790,20,1896.0
476,2023-10-18,19,20,3,857,0,2571.0
477,2023-09-24,12,47,1,1613,15,1371.05
478,2023-11-22,9,4,1,1895,10,1705.5
479,2023-11-19,7,21,2,1743,25,2614.5
480,2023-10-24,14,3,4,853,5,3241.3999999999996
481,2023-10-13,20,45,1,1546,0,1546.0
482,2023-11-23,19,8,1,1591,25,1193.25
483,2023-09-30,15,23,2,123,10,221.4
484,2023-11-17,16,16,2,1339,5,2544.1
485,2023-10-02,5,13,5,154,0,770.0
486,2023-10-10,3,3,3,1149,20,2757.6000000000004
487,2023-10-18,12,48,4,1404,10,5054.400000000001
488,2023-10-16,20,9,5,903,0,4515.0
489,2023-10-06,4,14,1,426,5,404.7
490,2023-11-16,16,13,2,1069,5,2031.1
491,2023-10-15,7,7,3,285,20,684.0
492,2023-11-06,13,15,5,594,10,2673.0
493,2023-10-21,10,7,3,1135,10,3064.5
494,2023-10-13,7,38,2,1764,25,2646.0
495,2023-09-08,14,34,5,533,0,2665.0
496,2023-09-18,5,41,5,307,25,1151.25
497,2023-11-01,3,22,3,232,5,661.1999999999999
498,2023-10-07,11,24,2,1462,5,2777.7999999999997
499,2023-10-23,11,49,1,1319,20,1055.2
500,2023-11-22,18,37,5,1385,20,5540.0
501,2023-10-24,15,44,1,1405,10,1264.5
502,2023-09-11,12,1,2,468,25,702.0
503,2023-10-07,9,10,5,1226,5,5823.5
504,2023-11-22,10,43,5,1755,0,8775.0
505,2023-11-26,12,16,1,1306,15,1110.1
506,2023-10-04,17,46,4,522,0,2088.0
507,2023-10-05,6,8,1,1132,20,905.6
508,2023-10-07,7,49,1,1680,0,1680.0
509,2023-09-05,14,25,4,343,5,1303.3999999999999
510,2023-09-19,13,50,2,881,25,1321.5
511,2023-11-02,8,12,2,723,10,1301.4
512,2023-11-07,10,25,5,666,25,2497.5
513,2023-11-27,9,17,3,1516,15,3865.7999999999997
514,2023-11-02,18,26,3,626,10,1690.2
515,2023-10-17,2,46,5,136,15,578.0
516,2023-11-05,5,48,3,277,15,706.35
517,2023-10-01,5,14,1,738,5,701.1
518,2023-10-19,6,41,1,1752,5,1664.3999999999999
519,2023-10-15,19,36,4,951,20,3043.2000000000003
520,2023-11-14,8,23,4,171,20,547.2
521,2023-09-24,16,43,5,451,15,1916.75
522,2023-10-15,13,6,5,722,25,2707.5
523,2023-10-24,1,47,5,1272,20,5088.0
524,2023-09-28,20,5,1,1820,5,1729.0
525,2023-11-07,17,43,3,204,20,489.6
526,2023-09-20,7,25,5,1782,15,7573.5
527,2023-11-27,13,18,5,320,10,1440.0
528,2023-10-19,4,13,1,1949,25,1461.75
529,2023-11-04,4,43,1,962,25,721.5
530,2023-11-17,6,14,1,1497,0,1497.0
531,2023-09-06,19,28,3,617,20,1480.8000000000002
532,2023-11-18,12,18,5,1383,25,5186.25
533,2023-10-17,7,28,2,398,5,756.1999999999999
534,2023-11-12,10,27,2,960,10,1728.0
535,2023-09-20,19,32,5,141,5,669.75
536,2023-11-05,7,47,5,870,20,3480.0
537,2023-10-24,3,9,5,996,15,4233.0
538,2023-09-21,13,40,5,591,0,2955.0
539,2023-10-21,13,32,3,1562,0,4686.0
540,2023-09-29,18,20,2,1906,10,3430.8
541,2023-10-03,20,28,4,1170,25,3510.0
542,2023-09-16,8,33,2,184,25,276.0
543,2023-09-21,9,4,2,1809,25,2713.5
544,2023-11-24,7,46,1,1181,0,1181.0
545,2023-11-15,1,34,5,1090,15,4632.5
546,2023-09-17,3,48,5,810,25,3037.5
547,2023-09-06,13,3,5,308,5,1463.0
548,2023-11-08,17,26,1,1371,25,1028.25
549,2023-10-24,1,8,3,1334,15,3401.7
550,2023-10-03,6,6,3,138,10,372.6
551,2023-10-22,6,16,4,1375,10,4950.0
552,2023-09-09,12,24,3,1766,0,5298.0
553,2023-10-28,13,48,3,1025,15,2613.75
554,2023-11-18,13,39,5,1926,5,9148.5
555,2023-10-14,15,30,2,861,15,1463.7
556,2023-09-02,16,45,3,1536,5,4377.599999999999
557,2023-10-29,11,13,3,1045,5,2978.25
558,2023-10-21,5,5,1,1569,15,1333.6499999999999
559,2023-11-28,4,25,4,151,20,483.20000000000005
560,2023-10-22,3,20,1,473,15,402.05
561,2023-11-15,19,18,5,1649,5,7832.75
562,2023-11-12,20,47,2,1030,25,1545.0
563,2023-10-03,18,18,4,255,10,918.0
564,2023-09-26,15,2,1,1665,10,1498.5
